truncate,Year,Price_Level,Like,textsm__divcontains_class_truncate,Price,Mileage,Discount,Certification,Color,Circumstance
Jeep Wrangler,2020,High Price,Unlimited Willys,"$2,010 above avg. list price","$46,750 ","28,093 miles",,,"Silver exterior, Black interior","1 accident, 1 Owner, Personal use"
BMW X5,2015,High Price,xDrive35i AWD,$628 above avg. list price,"$21,488 ","105,425 miles",,,"White exterior, Black interior","No accidents, 4 Owners, Personal use"
Toyota 4Runner,2016,High Price,Limited V6 RWD,"$1,087 above avg. list price","$33,979 ","50,307 miles",,,"Silver exterior, Black interior","No accidents, 3 Owners, Fleet use"
Lexus RC,2016,High Price,RC 200t RWD,$761 above avg. list price,"$29,981 ","57,717 miles",,,"White exterior, Red interior","No accidents, 2 Owners, Fleet use"
Mercedes-Benz S-Class,2017,Fair Price,S 550 Sedan RWD,$91 above avg. list price,"$53,894 ","43,199 miles",,Certified Pre-Owned,"Silver exterior, Gray interior","No accidents, 1 Owner, Personal use"
Chevrolet Cruze,2017,High Price,LT with 1SD Hatchback Automatic,$359 above avg. list price,"$16,995 ","72,221 miles",Dealer Discount Available,,"Gray exterior, Black interior","No accidents, 3 Owners, Fleet use"
Acura MDX,2009,High Price,AWD,$770 above avg. list price,"$10,499 ","154,624 miles",,,"White exterior, Beige interior","No accidents, 1 Owner, Personal use"
GMC Yukon,2011,Fair Price,SLT RWD,$145 above avg. list price,"$14,997 ","127,847 miles",Dealer Discount Available,,"Gold exterior, Beige interior","No accidents, 3 Owners, Personal use"
Acura TLX,2020,Great Price,2.4L FWD with Technology Package,$88 off avg. list price,"$29,491 ","15,660 miles",,Certified Pre-Owned,"Gray exterior, Black interior","No accidents, 1 Owner, Personal use"
Honda Accord,2013,High Price,LX Sedan I4 CVT,$272 above avg. list price,"$12,588 ","155,376 miles",,,"Gray exterior, Gray interior","2 accidents, 2 Owners, Personal use"
