truncate,Year,Price_Level,Like,textsm__divcontains_class_truncate,Price,Mileage,Discount,Certification,Color,Circumstance
Mercedes-Benz C-Class,2011,Great Price,C 300 Luxury Sedan RWD,$16 off avg. list price,"$15,997 ","47,166 miles",,,"Gray exterior, Gray interior","No accidents, 2 Owners, Personal use"
Mercedes-Benz E-Class,2015,Great Price,E 350 Sport Sedan RWD,$57 off avg. list price,"$15,495 ","137,000 miles",,,"Silver exterior, Black interior","No accidents, 3 Owners, Personal use"
Jeep Wrangler,2018,Fair Price,Unlimited Sport S (JL),At or near avg. list price,"$31,668 ","47,240 miles",,,"Gray exterior, Black interior","No accidents, 1 Owner, Personal use"
Tesla Model Y,2022,Fair Price,Performance AWD,At or near avg. list price,"$63,894 ","17,639 miles",,,"White exterior, Black interior","No accidents, 2 Owners, Personal use"
Toyota Corolla Hatchback,2022,Fair Price,SE CVT,At or near avg. list price,"$26,880 ","5,761 miles",,,"Red exterior, Black interior","No accidents, 1 Owner, Personal use"
Toyota Corolla,2015,Great Price,LE Plus CVT,$139 off avg. list price,"$9,999 ","124,444 miles",Dealer Discount Available,,"White exterior, Gray interior","No accidents, 2 Owners, Fleet use"
Mercedes-Benz C-Class,2018,High Price,C 300 Sedan RWD,$466 above avg. list price,"$25,893 ","72,311 miles",,,"Silver exterior, Black interior","No accidents, 1 Owner, Personal use"
Mercedes-Benz GLC,2022,Fair Price,GLC 300 SUV RWD,At or near avg. list price,"$47,925 ","9,023 miles",,,"Silver exterior, Beige interior","No accidents, 1 Owner, Personal use"
Mercedes-Benz E-Class,2022,Fair Price,E 350 Sedan RWD,At or near avg. list price,"$61,210 ","2,486 miles",,,"White exterior, Gray interior","No accidents, 1 Owner, Personal use"
Nissan LEAF,2018,Fair Price,SV,$58 above avg. list price,"$24,894 ","34,911 miles",,,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
Kia Sportage,2016,Fair Price,LX FWD,At or near avg. list price,"$16,998 ","72,279 miles",,,"White exterior, Black interior","No accidents, 2 Owners, Personal use"
Volkswagen Jetta,2019,Fair Price,S?Automatic,$99 above avg. list price,"$19,199 ","19,797 miles",,,"White exterior, Black interior","1 accident, 1 Owner, Personal use"
BMW 4 Series,2015,Great Price,428i Coupe RWD,$74 off avg. list price,"$18,576 ","85,156 miles",,,"Brown exterior, Black interior","No accidents, 2 Owners, Personal use"
Chevrolet Silverado 1500 LTD,2022,Fair Price,LT Crew Cab Short Bed 2WD,At or near avg. list price,"$45,119 ","5,200 miles",,,"Gray exterior, Black interior","No accidents, 1 Owner, Personal use"
Tesla Model Y,2021,Fair Price,Long Range AWD,$176 above avg. list price,"$58,800 ","20,819 miles",,,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
Toyota Camry,2019,Fair Price,LE Automatic,$29 above avg. list price,"$18,599 ","81,517 miles",,,"Silver exterior, Black interior","1 accident, 1 Owner, Personal use"
Toyota 4Runner,2018,Great Price,SR5 Premium RWD,$86 off avg. list price,"$31,488 ","78,260 miles",,,"Black exterior, Black interior","1 accident, 1 Owner, Personal use"
Acura TLX,2020,Fair Price,3.5L FWD with Technology Package,At or near avg. list price,"$33,080 ","11,538 miles",,Certified Pre-Owned,"Gray exterior, Black interior","No accidents, 1 Owner, Personal use"
Toyota 4Runner,2018,Great Price,Limited RWD,$240 off avg. list price,"$34,050 ","66,668 miles",,,"Gray exterior, Unknown interior","No accidents, 3 Owners, Personal use"
Dodge Durango,2014,Great Price,Limited RWD,$80 off avg. list price,"$19,217 ","72,174 miles",,,"Tan exterior, Beige interior","No accidents, 2 Owners, Fleet use"
Mercedes-Benz GLE,2020,Great Price,GLE 450 4MATIC,$13 off avg. list price,"$56,700 ","22,969 miles",Dealer Discount Available,,"Unknown exterior, Unknown interior","No accidents, 1 Owner, Personal use"
BMW 5 Series,2020,Great Price,M550i xDrive,$36 off avg. list price,"$54,991 ","39,845 miles",,,"Black exterior, Brown interior","No accidents, 1 Owner, Personal use"
Honda HR-V,2021,Fair Price,Sport FWD,At or near avg. list price,"$25,162 ","14,298 miles",,,"Blue exterior, Black interior","1 accident, 1 Owner, Personal use"
BMW 8 Series,2019,Fair Price,M850i Coupe,At or near avg. list price,"$66,998 ","37,180 miles",,,"Blue exterior, Black interior","No accidents, 1 Owner, Personal use"
Cadillac XT4,2019,Fair Price,Sport FWD,At or near avg. list price,"$28,998 ","48,383 miles",Dealer Discount Available,,"Silver exterior, Black interior","No accidents, 1 Owner, Personal use"
Chevrolet Suburban,2015,Fair Price,LTZ RWD,$147 above avg. list price,"$29,450 ","106,237 miles",Dealer Discount Available,,"Black exterior, Black interior","No accidents, 2 Owners, Fleet use"
Ford Bronco,2022,Fair Price,Outer Banks 4 Door 4WD,$125 above avg. list price,"$59,998 ","3,320 miles",,,"Gray exterior, Unknown interior","No accidents, 1 Owner, Personal use"
Nissan Sentra,2014,Fair Price,SR CVT,At or near avg. list price,"$8,999 ","112,510 miles",Dealer Discount Available,,"Silver exterior, Black interior","No accidents, 2 Owners, Personal use"
Porsche Macan,2017,Fair Price,AWD,At or near avg. list price,"$39,998 ","20,486 miles",,,"Silver exterior, Black interior","No accidents, 1 Owner, Personal use"
Toyota Corolla,2020,High Price,LE CVT,$929 above avg. list price,"$24,900 ","17,989 miles",,,"Gray exterior, Gray interior","No accidents, 1 Owner, Fleet use"
Hyundai Elantra,2017,Great Price,SE 2.0L Sedan Automatic (alt),$246 off avg. list price,"$13,999 ","68,000 miles",,,"White exterior, Gray interior","No accidents, 2 Owners, Fleet use"
Toyota Prius Prime,2021,Fair Price,XLE,$294 above avg. list price,"$33,850 ","40,097 miles",,Certified Pre-Owned,"Gray exterior, Black interior","No accidents, 1 Owner, Personal use"
Chevrolet Suburban,2018,Excellent Price,LT 4WD,"$2,109 off avg. list price","$34,899 ","68,857 miles",,,"White exterior, Black interior","1 accident, 2 Owners, Personal use"
Ford Explorer,2020,Fair Price,Limited RWD,At or near avg. list price,"$37,880 ","12,246 miles",,Certified Pre-Owned,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
Ford F-150,2017,Fair Price,Raptor SuperCrew 5.5' Box 4WD,At or near avg. list price,"$51,997 ","74,282 miles",Dealer Discount Available,,"Silver exterior, Black interior","No accidents, 3 Owners, Personal use"
Ford Maverick,2022,Fair Price,XLT SuperCrew FWD,At or near avg. list price,"$37,988 ",170 miles,Dealer Discount Available,,"Gray exterior, Blue interior","No accidents, 0 Owners, Personal use"
Toyota Corolla Hatchback,2021,Great Price,XSE CVT,$315 off avg. list price,"$27,498 ","4,894 miles",,,"Blue exterior, Black interior","No accidents, 1 Owner, Personal use"
Nissan Rogue,2021,Great Price,SV FWD,$470 off avg. list price,"$27,204 ","13,802 miles",Dealer Discount Available,,"Gray exterior, Black interior","No accidents, 1 Owner, Personal use"
Acura TL,2006,Fair Price,Automatic,$11 above avg. list price,"$5,999 ","162,370 miles",Dealer Discount Available,,"Black exterior, Black interior","1 accident, 3 Owners, Personal use"
Dodge Durango,2016,Great Price,Limited AWD,$179 off avg. list price,"$18,988 ","128,841 miles",,,"Silver exterior, Black interior","No accidents, 4 Owners, Personal use"
Cadillac CTS,2010,Fair Price,3.6 Performance Sedan RWD Automatic,At or near avg. list price,"$19,395 ","29,424 miles",Dealer Discount Available,,"Red exterior, Black interior","No accidents, 2 Owners, Personal use"
Toyota RAV4,2010,Great Price,Limited V6 FWD,$18 off avg. list price,"$17,880 ","37,116 miles",,,"White exterior, Beige interior","No accidents, 1 Owner, Personal use"
Toyota Corolla,2021,Fair Price,Hybrid LE CVT,$326 above avg. list price,"$29,598 ","27,557 miles",,,"Black exterior, Gray interior","No accidents, 1 Owner, Personal use"
Land Rover Range Rover,2020,Great Price,HSE P525 V8 Supercharged LWB,$404 off avg. list price,"$91,894 ","39,895 miles",,,"Gray exterior, Unknown interior","No accidents, 1 Owner, Personal use"
Subaru Crosstrek,2018,Fair Price,2.0i Limited CVT,At or near avg. list price,"$20,995 ","117,715 miles",Dealer Discount Available,,"Black exterior, Black interior","No accidents, 1 Owner, Fleet use"
Mazda Mazda3,2018,Fair Price,Sport 4-Door Automatic,$133 above avg. list price,"$16,850 ","81,376 miles",,,"Gray exterior, Black interior","No accidents, 2 Owners, Personal use"
Lexus GS,2013,Fair Price,GS 350 RWD,At or near avg. list price,"$22,998 ","93,918 miles",,,"Brown exterior, Black interior","No accidents, 2 Owners, Personal use"
Mercedes-Benz C-Class,2012,Fair Price,C 250 Sport Sedan RWD,At or near avg. list price,"$11,200 ","113,700 miles",,,"Red exterior, Black interior","No accidents, 3 Owners, Fleet use"
Honda Civic,2016,Fair Price,LX Sedan CVT,$121 above avg. list price,"$16,995 ","117,103 miles",Dealer Discount Available,,"Silver exterior, Gray interior","1 accident, 3 Owners, Personal use"
Chevrolet Express Cargo Van,2013,Fair Price,1500 RWD SWB,At or near avg. list price,"$17,997 ","122,750 miles",Dealer Discount Available,,"White exterior, Gray interior","No accidents, 3 Owners, Personal use"
Volkswagen Jetta,2017,Fair Price,1.4T SE Auto,At or near avg. list price,"$12,998 ","104,307 miles",,,"Gray exterior, Black interior","No accidents, 2 Owners, Personal use"
Dodge Charger,2019,Fair Price,GT RWD,At or near avg. list price,"$31,876 ","26,010 miles",,,"Silver exterior, Black interior","No accidents, 1 Owner, Personal use"
Lexus NX,2020,Fair Price,NX 300 FWD,$34 above avg. list price,"$33,926 ","31,323 miles",,,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
Chevrolet Silverado 1500,2022,Fair Price,ZR2 Crew Cab Short Bed 4WD,$566 above avg. list price,"$77,995 ","2,191 miles",Dealer Discount Available,,"Gray exterior, Black interior","No accidents, 0 Owners, Personal use"
Hyundai Sonata,2016,Fair Price,Limited 2.0T,$81 above avg. list price,"$18,998 ","96,480 miles",,,"White exterior, Black interior","No accidents, 5 Owners, Personal use"
Ford Focus,2016,Fair Price,SE Sedan,$150 above avg. list price,"$14,998 ","64,720 miles",,,"Silver exterior, Black interior","No accidents, 2 Owners, Personal use"
Nissan GT-R,2015,Excellent Price,Premium,"$2,867 off avg. list price","$72,950 ","57,933 miles",,,"Unknown exterior, Black interior","No accidents, 4 Owners, Personal use"
Acura MDX,2020,Great Price,FWD with Technology Package,$672 off avg. list price,"$33,595 ","59,082 miles",,Certified Pre-Owned,"Black exterior, Black interior","1 accident, 1 Owner, Personal use"
Volkswagen Jetta,2015,,,,"$18,998 ","29,871 miles",,,"Silver exterior, Black interior","No accidents, 1 Owner, Personal use"
Mercedes-Benz Metris Passenger Van,2021,Fair Price,"126"" Wheelbase Standard Roof",$190 above avg. list price,"$74,000 ","3,520 miles",,,"Black exterior, Unknown interior","No accidents, 1 Owner, Personal use"
Mazda CX-5,2015,Great Price,Grand Touring FWD Automatic,$219 off avg. list price,"$16,998 ","81,673 miles",Dealer Discount Available,,"Black exterior, Beige interior","No accidents, 3 Owners, Personal use"
Ford EcoSport,2018,Fair Price,SE 4WD,$19 above avg. list price,"$18,998 ","53,175 miles",,,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
Subaru Outback,2018,Fair Price,2.5i Premium,$182 above avg. list price,"$25,998 ","46,775 miles",,,"White exterior, Gray interior","No accidents, 1 Owner, Personal use"
Lexus RX,2017,Fair Price,RX 350 FWD,At or near avg. list price,"$31,240 ","51,048 miles",,,"Black exterior, Black interior","No accidents, 2 Owners, Personal use"
Land Rover Range Rover Evoque,2022,Great Price,S,"$1,044 off avg. list price","$43,991 ","7,881 miles",,,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
Lexus NX,2020,Fair Price,NX 300 F Sport FWD,$131 above avg. list price,"$33,894 ","46,193 miles",,,"Silver exterior, Black interior","No accidents, 1 Owner, Personal use"
Porsche 911,2016,Great Price,GT3 RS,"$2,441 off avg. list price","$204,888 ","13,115 miles",,,"Purple exterior, Black interior","No accidents, 3 Owners, Personal use"
Porsche Cayenne,2019,Fair Price,AWD,At or near avg. list price,"$59,993 ","19,731 miles",,,"Black exterior, Brown interior","No accidents, 1 Owner, Personal use"
Hyundai Elantra,2013,High Price,GLS Sedan Automatic,$347 above avg. list price,"$12,599 ","111,646 miles",,,"Black exterior, Gray interior","1 accident, 2 Owners, Personal use"
BMW 3 Series,2012,Excellent Price,328i Sedan,"$1,587 off avg. list price","$11,336 ","95,581 miles",,,"Blue exterior, Brown interior","1 accident, 1 Owner, Personal use"
Dodge Dart,2015,Fair Price,SXT,At or near avg. list price,"$11,203 ","83,268 miles",,,"Gray exterior, Black interior","No accidents, 2 Owners, Fleet use"
Nissan Versa,2015,Excellent Price,1.6 SV CVT,$781 off avg. list price,"$10,699 ","42,495 miles",,,"Silver exterior, Black interior","No accidents, 2 Owners, Fleet use"
Honda Fit,2015,Excellent Price,LX Manual,$657 off avg. list price,"$14,000 ","61,685 miles",,,"Unknown exterior, Black interior","No accidents, 3 Owners, Personal use"
Nissan Rogue Sport,2021,Excellent Price,S FWD,$672 off avg. list price,"$21,995 ","22,364 miles",Dealer Discount Available,,"Gray exterior, Black interior","No accidents, 1 Owner, Personal use"
Toyota Prius,2021,Great Price,LE,$466 off avg. list price,"$26,999 ","33,064 miles",,,"Gray exterior, Unknown interior","No accidents, 1 Owner, Personal use"
Honda Civic,2017,Fair Price,LX Hatchback CVT,At or near avg. list price,"$21,998 ","35,702 miles",,,"Silver exterior, Gray interior","No accidents, 2 Owners, Personal use"
Tesla Model 3,2022,High Price,Standard Range Plus RWD,"$1,180 above avg. list price","$55,000 ",62 miles,,,"White exterior, Unknown interior","No accidents, 1 Owner, Personal use"
Toyota Tacoma,2020,Fair Price,TRD Sport Double Cab 6' Bed V6 2WD Automatic,$103 above avg. list price,"$37,900 ","41,714 miles",,,"Gray exterior, Gray interior","No accidents, 1 Owner, Fleet use"
Alfa Romeo Stelvio,2018,Fair Price,Sport,At or near avg. list price,"$26,799 ","59,558 miles",,,"White exterior, Black interior","No accidents, 2 Owners, Personal use"
Scion tC,2015,Excellent Price,Release Series Manual,$472 off avg. list price,"$10,799 ","117,251 miles",Dealer Discount Available,,"Gray exterior, Black interior","No accidents, 1 Owner, Personal use"
Dodge Journey,2019,Excellent Price,SE FWD,$611 off avg. list price,"$15,699 ","72,332 miles",,,"Gray exterior, Black interior","No accidents, 1 Owner, Personal use"
Honda Clarity,2018,Fair Price,Plug-In Hybrid,At or near avg. list price,"$26,550 ","42,632 miles",,,"White exterior, Beige interior","No accidents, 1 Owner, Personal use"
Porsche Cayenne,2022,Great Price,Platinum Edition AWD,$659 off avg. list price,"$82,995 ","3,058 miles",,,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
Mercedes-Benz GLC,2019,Great Price,GLC 300 RWD,$872 off avg. list price,"$34,894 ","10,075 miles",,Certified Pre-Owned,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
Porsche 718 Cayman,2018,Great Price,S Coupe,$415 off avg. list price,"$74,858 ","15,729 miles",,Certified Pre-Owned,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
Mercedes-Benz C-Class,2017,Great Price,C 300 with Luxury Package Sedan RWD,$194 off avg. list price,"$22,998 ","67,170 miles",Dealer Discount Available,,"Blue exterior, Unknown interior","No accidents, 2 Owners, Personal use"
Subaru Forester,2019,Fair Price,2.5i Limited,$104 above avg. list price,"$31,998 ","22,340 miles",,,"Blue exterior, Gray interior","No accidents, 1 Owner, Personal use"
MINI Hardtop,2012,Fair Price,S Hardtop 2-Door,At or near avg. list price,"$10,897 ","94,234 miles",,,"Blue exterior, Black interior","No accidents, 1 Owner, Personal use"
Maserati Quattroporte,2020,Fair Price,GTS GranSport 3.8L,At or near avg. list price,"$85,894 ","6,496 miles",,,"Gray exterior, Black interior","No accidents, 1 Owner, Personal use"
Mercedes-Benz GLC,2020,Fair Price,GLC 300 Coupe 4MATIC,$22 above avg. list price,"$53,893 ","19,523 miles",,Certified Pre-Owned,"Red exterior, Black interior","No accidents, 1 Owner, Personal use"
Toyota Prius Prime,2022,Great Price,LE,$288 off avg. list price,"$34,175 ","25,455 miles",,,"Gray exterior, Black interior","No accidents, 1 Owner, Personal use"
Tesla Model Y,2022,Fair Price,Performance AWD,$985 above avg. list price,"$76,000 ","8,000 miles",,,"Silver exterior, Unknown interior","No accidents, 1 Owner, Personal use"
Toyota Prius Prime,2022,Fair Price,XLE,At or near avg. list price,"$37,258 ","13,490 miles",,Certified Pre-Owned,"Gray exterior, Black interior","No accidents, 1 Owner, Personal use"
Alfa Romeo Giulia,2021,Great Price,Sprint RWD,$754 off avg. list price,"$29,850 ","8,072 miles",,,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
Mercedes-Benz GLC,2020,Fair Price,GLC 300 SUV 4MATIC,$402 above avg. list price,"$37,995 ","27,764 miles",,,"White exterior, Black interior","No accidents, 1 Owner, Personal use"
